date,text,sentiment_category
2024-10-23 12:30:18+00:00,INDEX OPTIONS TRADENIFTY 24 OCT 24500 PE100 TO 16060 POINTS,Positive
2024-11-05 12:40:46+00:00,INDEX OPTIONS TRADEBANKNIFTY 6 NOV 51500 CE180 TO 730550 POINTSALMOST 4 TIMES,Positive
2024-04-25 15:05:41+00:00,INDEX OPTIONS TRADEHERO ZERO NIFTY 22500 CE55 TO 120 gain,Positive
2023-12-20 14:38:04+00:00,INDEX OPTIONS TRADE 3BANKNIFTY  47900 CESTOP LOSS TAKEN degrade,Negative
2024-09-10 03:50:22+00:00,BANKNIFTY 50900 CEAbove  380Sl open TRG 400420,Positive
2024-11-28 03:28:10+00:00,NIFTY growth,Positive
2024-07-29 15:31:47+00:00,INDEX OPTIONS TRADENIFTY 1 AUGUST 24800 CE255 TO STOP LOSS loss,Negative
2024-06-20 09:04:47+00:00,INDEX OPTIONS TRADEBANKNIFTY 51600 CE420 TO 51595 POINTS,Negative
2024-06-03 14:36:38+00:00,INDEX OPTIONS TRADEBANKNIFTY 50800 CE620 TO 70080 POINTS,Positive
2024-04-25 15:08:55+00:00,INDEX OPTIONS TRADE 4HERO ZERO NIFTY 22600 CE16 TO 64 doubled,Positive
2024-07-15 12:39:26+00:00,INDEX OPTIONS TRADEHERO ZERO TRADEFINNIFTY 23700 CE50 TO 145ALMOST 3 TIMES,Positive
2023-12-01 13:15:10+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 6 DEC 44600 CE550 TO 600,Neutral
2024-01-10 15:14:36+00:00,INDEX OPTIONS TRADE 3BANKNIFTY 10 JAN 47200 PE45 TO 12782 POINTS,Neutral
2024-10-28 03:43:07+00:00,BANKNIFTY LEVEL,Neutral
2024-02-15 13:00:28+00:00,HERO OR ZERONIFTY 21900 CE17 TO 803X RETURNS growth,Positive
2024-07-15 12:38:36+00:00,INDEX OPTIONS TRADENIFTY 24400 CE188 TO 23547 POINTS BTST,Neutral
2024-08-06 09:27:16+00:00,"SHORT TERMBANKNIFTY AUGUST FUTURES AROUND 49980TARGET AT 50400,50600,51000STOP LOSS AF 49600 red",Negative
2024-08-26 10:48:09+00:00,INDEX OPTIONS TRADENIFTY 24700 CE240 TO 380140 POINTS MOVE,Positive
2024-04-15 15:09:24+00:00,INDEX OPTIONS TRADE 3NIFTY 22300 CE195 TO 225,Positive
2024-06-18 17:42:32+00:00,HERO OR ZERO TRADEFINNIFTY 22500 CE35 TO 60 growth,Positive
2024-01-23 12:32:35+00:00,INDEX OPTIONS TRADE 2 AND 3NIFTY 22000 PE260 TO 800540 POINTSBANKNIFTY 46700 PE560 TO 1800WE EXITED AT COST AND MISSED THE RALLY IN BANKNIFTY loss,Negative
2024-06-19 07:42:27+00:00,HERO OR ZEROBANKNIFTY 51300 CE65 TO 2003 TIMES RETURN ON INVESTMENT bullish,Positive
2024-03-05 10:52:46+00:00,BTST TRADEBANKNIFTY 47300 CEEXITED AT STOP LOSS red,Negative
2024-04-05 16:26:36+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 47800 CE450 TO 800GIVEN AS BTST350 POINTS,Positive
2024-07-29 15:31:47+00:00,INDEX OPTIONS TRADENIFTY 1 AUGUST 24800 CE255 TO STOP LOSS loss,Negative
2024-10-28 03:43:07+00:00,NIFTY LEVEL bullish,Positive
2024-02-15 13:00:28+00:00,HERO OR ZERONIFTY 21900 CE17 TO 803X RETURNS growth,Positive
2024-08-21 12:31:10+00:00,INDEX OPTIONS TRADEHERO ZEROBANKNIFTY 21 AUG 51000 CESTOP LOSS TAKEN degrade,Negative
2024-11-25 08:32:31+00:00,"RISKY TRADERSSELL BANKNIFTY NOV FUTURES AROUND 52050TARGET 51900,51700,51500STOP LOSS 52200 red",Negative
2024-01-10 15:14:25+00:00,INDEX OPTIONS TRADE 2NIFTY 21300 CE250 TO 23515 POINTS LOSS degrade,Negative
2024-05-29 05:54:13+00:00,BANKNIFTY ELECTION TRADE270SHOULD BOOK PARTIAL GAINS OR HOLD WITH TRAILING STOP LOSS AT COST loss,Negative
2024-09-18 12:12:04+00:00,INDEX OPTIONS TRADEFINNIFTY SEP 24200 CE175 TO 315140 POINTS,Positive
2024-08-29 06:51:05+00:00,"STOCK MARKET RESEARCH AND IN DEPTH STUDY COURSEBATCH 1 FRIDAY 57 PMBATCH 2 SUNDAY 10 AM12 PMMEMBERS ARE ALLOWED TO CHOOSE 1 BATCHTOPICS TO BE COVERED IN COURSE1. PRICE ACTION SUPPORT AND RESISTANCE.2. TYPE OF CHART PATTERNS AND CANDLE STICK PATTERNS!3. DRAWING TRENDLINES AND HORIZONTAL LINES!4. CHART MOVEMENT STUDIES!5. BREAKOUT AND BREAKDOWN TRADING STRATEGY!6. NIFTY50, BANKNIFTY AND FINNIFTY TRADING STRATEGY!7. HOW TO FIND HERO OR ZERO ON EXPIRY DAYS!8. 51530 MINS CHART ANALYSIS!9. SWING TRADING 1 DAY CHART ANALYSIS!10. COMMODITY TRADING STRATEGY!CRUDEOIL, NATURALGAS AND SILVER11. HOW TO FIND STOP LOSS, TARGET IN EACH OF THE TRADING STYLE!12. HOW TO CONTROL EMOTIONS AND GREED DURING TRADING!13. PERSONAL SUPPORT WILL BE GIVEN IN CASE OF ANY QUERIES!FEES 5999JOINING LINKhttpscosmofeed.comvig66c1aa906befee0013f05b83 COURSE DURATION WILL BE 12 HOURS!QUERIES USHAANALYSISNOTEIN CASE ANY BATCH HAS LESS MEMBERS WE MAY SHIFT YOU TO ANOTHER BATCHSEATS FILLING FASTBOOK YOURS NOW green",Positive
2024-02-15 13:00:28+00:00,HERO OR ZERONIFTY 21900 CE17 TO 803X RETURNS growth,Positive
2024-11-12 13:09:30+00:00,NIFTY NOV 23800 PE160 TO 20040 POINTS AND HOLDING gain,Positive
2024-05-29 04:39:37+00:00,BANKNIFTY ELECTION TRADETRADING AT 240,Neutral
2024-11-12 13:07:38+00:00,HERO OR ZERONIFTY 14 NOV 23800 PE40 TO 75ALMOST DOUBLED green,Positive
2024-01-03 14:06:14+00:00,INDEX OPTIONS TRADE 6BANKNIFTY 47600 CE500 TO 525STOP LOSS TAKEN degrade,Negative
2024-02-09 11:52:41+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 14 FEB 45300 PESTOP LOSS DONE degrade,Negative
2023-12-26 15:11:35+00:00,INDEX OPTIONS TRADE 5NIFTY 21300 CESL TAKEN!SAFE TRADERS EXITED 220REST HOLDING FOR TOMORROW WITH POSITIVE VIEW!! green,Positive
2024-08-12 16:30:00+00:00,OUR INDEX OPTIONS TRADEBANKNIFTY 50500 CE370 TO 520150 POINTS NIFTY 24300 CE190 TO 26070 POINTS bullish,Positive
